"","StartDate","EndDate","Progress","Durationinseconds","Finished","ResponseId","UserLanguage","accept","rmq_1","rmq_2","rmq_3","rmq_4","rmq_5","rmq_6","rmq_7","rmq_8","rmq_9","rmq_10","rmq_11","rmq_12","rmq_13","rmq_14","rmq_15","rmq_16","rmq_17","rmq_18","rmq_19","rmq_20","rmq_21","rmq_22","rmq_23","rmq_24","rmq_25","rmq_26","rmq_27","rmq_28","rmq_29","rmq_30","rmq_timer_FirstClick","rmq_timer_LastClick","rmq_timer_PageSubmit","rmq_timer_ClickCount","rfq_1","rfq_2","rfq_3","rfq_4","rfq_5","rfq_6","rfq_7","rfq_8","rfq_9","rfq_10","rfq_11","rfq__timer_FirstClick","rfq__timer_LastClick","rfq__timer_PageSubmit","rfq__timer_ClickCount","digivest_accept","digivest_app_timer_FirstClick","digivest_app_timer_LastClick","digivest_app_timer_PageSubmit","digivest_app_timer_ClickCount","digivest_test_timer_FirstClick","digivest_test_timer_LastClick","digivest_test_timer_PageSubmit","digivest_test_timer_ClickCount","digivest_use_1","digivest_use_timer_FirstClick","digivest_use_timer_LastClick","digivest_use_timer_PageSubmit","digivest_use_timer_ClickCount","bit_ctr_1","bit_timer_FirstClick","bit_timer_LastClick","bit_timer_PageSubmit","bit_timer_ClickCount","bit_cfl_11","bit_timer_FirstClick1","bit_timer_LastClick1","bit_timer_PageSubmit1","bit_timer_ClickCount1","easy","clear","perfaffected","previnvested","missedout","regret","investearlier","happier","relieved","bit_perf_text","gender","gender_3_TEXT","age","language","language_3_TEXT","ethnicity","ethnicity_7_TEXT","location","location_2_TEXT","student","education","income","heard_test","told_test","condition","allo","allo_timer","allo_clicks","prev","prom","ass","loc","rfq_2r","rfq_4r","rfq_6r","rfq_8r","rfq_1r","rfq_9r","rfq_11r","rmq_2r","rmq_10r","rmq_27r","rmq_13r","rmq_24r","prev.var","prom.var","ass.var","loc.var","prevdom","prevdomc","premc","promc","amc","lmc","perfaffected.s","missedout.s","regret.s","investearlier.s","happier.s","relieved.s","hiloprev","hiloprom","hiloass","hiloloc","condD","premc.s","promc.s","allo.s","prevdomc.s","condE","countryCode","countryName","asn","isp","block","hostname","block12","block.d"
"424","2018-09-10 06:44:53","2018-09-10 06:51:50",100,417,"1","R_ys7QQoOTDm0ECY1","EN","1",4,4,1,4,4,3,3,5,3,3,4,5,3,4,5,2,3,4,3,5,2,2,2,3,4,5,3,5,3,3,"4.954","102.217","104.978","61",2,2,3,3,3,3,3,3,3,4,1,"17.448","29.608","30.619","11","1","0","0","31.771","0","0","0","11.053","0","30","21.839","21.839","22.454","1","100","47.582","47.582","48.216","1","","","","","",5,5,3,"0",5,3,3,2,2,"","male","",33,"english","","white","","69","","0","somecollege","$40K-$70K","0","","Control",100,48.216,1,3.2,3.66666666666667,3.5,3.5,4,3,3,3,4,3,5,3,4,4,4,4,0.2,0.666666666666667,0.818181818181818,1.54545454545455,-0.466666666666666,-0.386360964138742,-0.11005291005291,0.276308054085832,-0.358784176847004,-0.840630472854641,-0.457919955626414,1.7598373521199,0.397433748463374,-0.385221319834458,-0.659755144327207,-0.547888283179883,"loprev","hiprom","loass","loloc",0,-0.134085094366356,0.438736461391469,1.39737638534091,-0.433934240908091,-1,"US","United States","10796","SCRR-10796",0,"74.138.188.28",0,0
"425","2018-09-10 06:45:17","2018-09-10 06:50:09",100,291,"1","R_1l6Kk1Wc6ZWee3k","EN","1",4,6,5,5,5,3,3,5,3,5,4,3,5,5,4,5,5,5,3,5,4,3,3,3,5,3,5,5,5,3,"2.935","98.159","98.982","40",2,1,4,1,4,2,4,1,2,4,2,"4.967","65.404","66.538","20","1","1.489","1.489","2.438","1","0","0","4.447","0","30","3.486","9.468","12.537","2","","","","","","0","2.999","4.536","5.936","2",5,4,3,"1",NA,NA,NA,NA,NA,"","female","",39,"english","","white","","87","","0","doctorate","$70K-$100K","0","","CF Loss",0,5.936,2,4.6,4,3,4.5,5,5,4,5,4,4,4,1,2,2,2,4,0.3,0,1.09090909090909,0.818181818181818,0.6,0.680305702527924,1.28994708994709,0.609641387419165,-0.858784176847004,0.159369527145359,-0.457919955626414,NA,NA,NA,NA,NA,"hiprev","hiprom","loass","hiloc",1,1.57163201954411,0.968020660559476,-1.46349698565819,0.764072890412116,1,"US","United States","10796","SCRR-10796",0,"74.140.164.46",0,0
"426","2018-09-10 06:45:12","2018-09-10 06:58:05",100,773,"1","R_269KKPWg31k7SKn","EN","1",5,2,4,6,6,6,2,6,4,4,5,1,3,1,3,5,2,2,1,5,5,4,1,1,5,1,2,5,5,4,"12.441","145.331","145.901","36",3,2,5,1,4,2,4,2,2,4,1,"11.106","91.459","92.36","25","1","23.863","23.863","49.67","1","0","0","32.465","0","30","21.424","42.271","43.975","3","","","","","","70","25.17","37.725","38.863","2",5,5,4,"0",3,2,5,5,4,"I like a platform that will allow you to invest small amounts of money. Even a small return is a good return and if you gain nothing, you have lost little! Thank you!","female","",56,"english","","white","","95","","","highschool","$100K-$250K","0","","CF Loss",70,38.863,2,4.2,4.16666666666667,3.91666666666667,5.16666666666667,4,5,4,4,3,4,5,5,3,5,4,6,0.2,0.566666666666667,2.08333333333333,0.515151515151515,0.0333333333333332,0.113639035861258,0.88994708994709,0.776308054085832,0.0578824898196624,0.826036193812026,0.601019941759668,0.216269168573771,-0.357898454113614,1.19029059499411,1.55702214061221,0.925322433814912,"hiprev","hiprom","loass","hiloc",1,1.08428427271255,1.23266276014348,0.53911437404118,0.127631601898256,1,"US","United States","7018","ATT-INTERNET4",0,"74.179.43.46",0,0
"427","2018-09-10 06:54:21","2018-09-10 06:59:41",100,320,"1","R_2duc5fQ1YNyfWTu","EN","1",2,1,1,5,1,1,1,1,2,6,3,1,6,1,5,2,1,1,6,6,1,3,1,6,3,3,2,2,1,3,"50.498","53.645","82.82","2",1,2,3,2,4,2,3,5,5,1,5,"0","0","29.809","0","1","0","0","13.899","0","0","0","14.854","0","30","6.421","11.893","14.108","2","","","","","","0","5.393","5.393","12.637","1",5,5,3,"0",2,1,1,1,1,"na","male","",54,"english","","white","","84","","0","bachelors","$20K-$40K","0","","CF Loss",0,12.637,1,3.4,2.33333333333333,3.5,1.75,4,4,4,1,5,1,1,6,1,5,1,1,1.8,2.66666666666667,4.09090909090909,1.47727272727273,1.06666666666667,1.14697236919459,0.0899470899470898,-1.0570252792475,-0.358784176847004,-2.59063047285464,-0.457919955626414,-0.555514923199293,-1.1132306566906,-1.96073323466303,-1.39868090597368,-1.28449364167728,"hiprev","loprom","loass","loloc",1,0.109588779049425,-1.67840033528056,-1.46349698565819,1.28820101036471,1,"US","United States","7018","ATT-INTERNET4",0,"74.243.158.82",0,0
"428","2018-09-10 06:44:57","2018-09-10 06:52:23",100,445,"1","R_QfvNmP2XgFyFa8h","EN","1",4,2,2,5,5,2,3,4,5,4,4,1,5,2,5,5,2,2,5,6,3,4,2,3,5,2,1,4,3,3,"4.909","111.038","111.301","34",4,2,2,3,4,2,3,2,4,1,3,"7.446","41.094","41.894","12","1","0","0","43.665","0","0","0","21.684","0","30","27.775","28.773","29.158","2","","","","","","100","11.3","16.393","17.202","2",5,3,3,"0",2,1,3,1,1,"","female","",28,"english","","white","","13","","0","associates","$20K-$40K","0","","CF Loss",100,17.202,2,3.8,2.16666666666667,4.25,3.83333333333333,4,3,4,4,2,2,3,5,3,6,2,4,0.2,0.566666666666667,1.65909090909091,1.24242424242424,1.63333333333333,1.71363903586126,0.48994708994709,-1.22369194591417,0.391215823152996,-0.507297139521307,-0.457919955626414,-0.555514923199293,-1.1132306566906,-0.385221319834458,-1.39868090597368,-1.28449364167728,"hiprev","loprom","hiass","loloc",1,0.596936525880988,-1.94304243486456,1.39737638534091,1.92464229887857,1,"US","United States","6389","AS6389",0,"74.249.186.70",0,0
"429","2018-09-10 06:46:37","2018-09-10 06:55:33",100,535,"1","R_1ihce08pyIQJdH7","EN","1",3,4,1,5,6,1,3,4,1,5,4,1,2,5,2,5,2,1,6,4,5,6,1,4,2,1,4,3,2,1,"5.525","126.613","127.777","40",4,3,3,3,4,3,4,2,3,2,1,"6.152","64.498","66.53","19","1","12.752","15.095","49.567","2","14.131","14.131","26.583","1","30","21.238","21.238","23.375","1","","","","","","0","32.625","32.625","36.275","1",5,5,3,"0",1,1,1,1,1,"","male","",38,"english","","white","","84","","0","bachelors","$10K-$20K","0","","CF Loss",0,36.275,1,3.4,3.16666666666667,3,3.66666666666667,3,3,3,4,2,3,5,3,2,3,5,3,0.3,1.36666666666667,3.09090909090909,2.42424242424242,0.233333333333333,0.313639035861258,0.0899470899470898,-0.223691945914168,-0.858784176847004,-0.673963806187974,-0.457919955626414,-1.32729901497236,-1.1132306566906,-1.96073323466303,-1.39868090597368,-1.28449364167728,"hiprev","loprom","loass","loloc",1,0.109588779049425,-0.355189837360541,-1.46349698565819,0.352257939020795,1,"US","United States","19108","SUDDENLINK-COMMUNICATIONS",0,"75.110.61.232",0,0
"430","2018-09-10 07:22:44","2018-09-10 07:32:36",100,592,"1","R_2YftTlyyt0b8NFn","EN","1",5,2,4,5,6,2,1,6,1,6,3,3,3,5,3,6,4,2,1,4,6,1,2,2,5,4,3,5,6,1,"8.287","149.986","151.198","35",3,1,5,1,5,1,3,1,3,3,1,"8.614","55.796","57.53","11","1","0","0","127.9","0","0","0","15.272","0","30","13.489","17.933","19.091","3","100","10.948","10.948","11.656","1","","","","","",5,5,4,"0",3,2,4,2,4,"that was fun","female","",57,"english","","white","","74","","0","graddegree","$100K-$250K","0","","Control",100,11.656,1,5,3.66666666666667,2.25,5.25,5,5,5,5,3,3,5,5,1,4,4,5,0,1.06666666666667,2.20454545454545,0.568181818181818,1.33333333333333,1.41363903586126,1.68994708994709,0.276308054085832,-1.608784176847,0.909369527145359,0.601019941759668,0.216269168573771,-0.357898454113614,0.402534637579827,-0.659755144327207,0.925322433814912,"hiprev","hiprom","loass","hiloc",0,2.05897976637568,0.438736461391469,1.39737638534091,1.58770279319476,-1,"US","United States","20115","CHARTER-NET-HKY-NC",0,"75.133.60.118",0,0
"431","2018-09-10 06:50:15","2018-09-10 06:58:20",100,485,"1","R_prVgkBSX9f0owbn","EN","1",6,1,4,6,5,2,1,5,6,4,5,1,3,3,5,4,1,1,1,5,6,2,1,2,5,5,6,5,5,5,"11.34","129.264","136.11","20",4,4,4,4,5,5,4,3,3,5,2,"12.155","62.034","64.535","11","1","0","0","21.896","0","0","0","19.012","0","30","23.051","27.687","29.993","3","0","17.172","18.3","20.688","2","","","","","",5,5,3,"0",3,4,5,1,3,"","female","",50,"english","","white","","89","","0","doctorate","$100K-$250K","0","","Control",0,20.688,2,2.6,3.66666666666667,3.5,5,2,2,1,3,2,3,4,6,3,1,4,5,2.3,1.06666666666667,4.09090909090909,0.545454545454545,-1.06666666666667,-0.986360964138742,-0.71005291005291,0.276308054085832,-0.358784176847004,0.659369527145359,-0.457919955626414,0.216269168573771,1.15276595104036,1.19029059499411,-1.39868090597368,0.188717075317515,"loprev","hiprom","loass","hiloc",0,-0.865106714613701,0.438736461391469,-1.46349698565819,-1.10781325227571,-1,"US","United States","209","CENTURYLINK-US-LEGACY-QWEST",0,"75.164.12.28",0,0
"432","2018-09-10 06:50:43","2018-09-10 07:14:27",100,1423,"1","R_2aktMwHeUaVrZ0K","EN","1",5,2,4,5,5,4,4,5,3,4,4,1,2,4,4,5,2,3,3,3,5,3,1,3,4,1,2,5,4,2,"4.923","69.552","152.397","31",2,2,4,2,4,2,3,2,2,5,1,"4.547","23.162","46.056","12","1","0","0","69.686","0","0","0","52.264","0","30","12.811","12.811","205.453","1","25","7.045","11.76","35.67","3","","","","","",5,5,4,"0",2,2,3,1,1,"Everything worked great.","female","",31,"english","","white","","87","","0","graddegree","$70K-$100K","0","","Control",25,35.67,3,4,4.16666666666667,3.58333333333333,4.66666666666667,4,4,4,4,4,4,5,5,3,5,5,4,0,0.566666666666667,0.810606060606061,0.242424242424242,-0.166666666666667,-0.0863609641387422,0.68994708994709,0.776308054085832,-0.275450843513671,0.326036193812026,0.601019941759668,-0.555514923199293,-0.357898454113614,-0.385221319834458,-1.39868090597368,-1.28449364167728,"hiprev","hiprom","loass","hiloc",0,0.84061039929677,1.23266276014348,-0.748278642908417,-0.096994735224283,-1,"US","United States","10796","SCRR-10796",0,"75.187.69.219",0,0
"433","2018-09-10 06:46:17","2018-09-10 06:50:35",100,258,"1","R_26my1hn1r7IZtRE","EN","1",6,2,3,6,6,5,4,6,4,3,4,1,4,4,4,6,4,3,3,5,4,3,2,3,6,1,3,5,6,4,"4.374","65.356","65.929","31",3,2,4,2,5,2,4,2,3,4,1,"4.499","26.269","26.914","12","1","24.941","24.941","25.298","1","0","0","10.377","0","30","7.286","15.146","15.883","2","10","6.512","9.094","9.737","3","","","","","",5,5,4,"1",NA,NA,NA,NA,NA,"","female","",42,"english","","white","","87","","0","graddegree","$40K-$70K","0","","Control",10,9.737,3,4.2,3.83333333333333,4.08333333333333,5.08333333333333,4,4,4,4,3,3,5,5,4,4,3,4,0.2,0.566666666666667,0.446969696969697,1.53787878787879,0.366666666666667,0.446972369194591,0.88994708994709,0.442974720752499,0.224549156486329,0.742702860478692,0.601019941759668,NA,NA,NA,NA,NA,"hiprev","hiprom","hiass","hiloc",0,1.08428427271255,0.703378560975473,-1.17740964855828,0.502008830435821,-1,"US","United States","10796","SCRR-10796",0,"75.188.141.50",0,0
"434","2018-09-10 07:01:55","2018-09-10 07:08:45",100,410,"1","R_27gmIP4bkXq5HLd","EN","1",5,1,4,6,6,6,5,5,6,1,4,1,1,3,5,5,1,2,3,5,5,4,1,1,4,2,6,5,4,3,"3.895","73.778","74.561","31",3,1,4,3,4,1,3,2,2,3,1,"1.241","35.773","37.468","14","1","0","0","9.767","0","0","0","5.9","0","30","13.678","13.678","15.02","1","15","70.043","70.043","71.586","1","","","","","",2,4,4,"0",4,3,5,3,4,"","female","",21,"english","","white","","84","","0","somecollege","$40K-$70K","0","","Control",15,71.586,1,4.2,3.66666666666667,4.5,5.08333333333333,5,3,5,4,3,4,5,6,6,1,6,6,0.7,0.666666666666667,2.45454545454545,0.628787878787879,0.533333333333334,0.613639035861258,0.88994708994709,0.276308054085832,0.641215823152996,0.742702860478692,0.601019941759668,0.988053260346834,0.397433748463374,1.19029059499411,0.0791706173192649,0.925322433814912,"hiprev","hiprom","hiass","hiloc",0,1.08428427271255,0.438736461391469,-1.03436598000833,0.689197444704604,-1,"US","United States","11426","SCRR-11426",0,"75.191.149.35",0,0
"435","2018-09-10 07:15:47","2018-09-10 07:21:32",100,344,"1","R_238Mes2ClrNy3ID","EN","1",4,3,2,6,5,5,5,4,4,3,4,1,4,2,4,5,3,3,4,4,5,4,1,4,3,2,4,4,5,5,"11.558","103.159","104.588","31",2,4,3,5,3,4,4,3,2,4,5,"7.249","53.058","53.962","12","1","0","0","13.978","0","0","0","11.033","0","30","8.118","8.118","9.825","1","0","26.682","29.987","32.066","2","","","","","",5,5,3,"0",1,1,5,1,1,"","male","",28,"english","","white","","74","","0","associates","$250K-$500K","0","","Control",0,32.066,2,2.2,3.33333333333333,4.16666666666667,4.08333333333333,2,1,2,3,4,4,1,4,4,3,3,3,0.7,1.46666666666667,0.333333333333333,1.35606060606061,-1.13333333333333,-1.05302763080541,-1.11005291005291,-0.0570252792475014,0.307882489819663,-0.257297139521308,-0.457919955626414,-1.32729901497236,-1.1132306566906,1.19029059499411,-1.39868090597368,-1.28449364167728,"loprev","loprom","hiass","loloc",0,-1.35245446144526,-0.0905477377765371,-1.46349698565819,-1.18268869798322,-1,"US","United States","7018","ATT-INTERNET4",0,"75.48.216.213",0,0
"436","2018-09-10 06:51:26","2018-09-10 06:59:57",100,510,"1","R_Y31eHiHkZQ7gXnP","EN","1",5,2,4,5,1,3,3,3,4,5,2,1,4,2,2,3,3,3,2,5,3,2,2,3,4,1,2,5,3,4,"4.924","151.676","152.451","30",4,1,2,1,5,1,2,1,3,1,3,"6.09","39.745","40.565","11","1","3.104","4.648","23.122","2","5.314","8.865","29.018","2","30","14.33","14.33","16.612","1","50","13.437","13.437","14.908","1","","","","","",3,4,3,"0",2,2,3,2,2,"","male","",30,"english","","multi","","58","","0","associates","$100K-$250K","0","","Control",50,14.908,1,5,2.16666666666667,3.25,3.58333333333333,5,5,5,5,2,3,3,5,2,5,3,4,0,0.566666666666667,1.65909090909091,1.35606060606061,2.83333333333333,2.91363903586126,1.68994708994709,-1.22369194591417,-0.608784176847004,-0.757297139521307,-0.457919955626414,-0.555514923199293,-0.357898454113614,-0.385221319834458,-0.659755144327207,-0.547888283179883,"hiprev","loprom","loass","loloc",0,2.05897976637568,-1.94304243486456,-0.033060300158641,3.2724003216138,-1,"US","United States","7922","COMCAST-7922",0,"75.70.148.98",0,0
"437","2018-09-10 06:50:28","2018-09-10 06:57:32",100,424,"1","R_3RmaPCXNy44vl6z","EN","1",5,3,2,5,5,3,2,3,5,5,4,1,5,1,5,3,3,3,4,4,2,3,1,5,2,2,2,3,3,2,"4.788","76.03","76.9","34",5,5,3,5,4,5,4,5,5,1,5,"0.058","58.338","59.273","28","1","5.291","11.426","20.499","3","3.6","3.6","16.444","1","30","7.787","25.968","27.826","7","100","4.17","11.777","12.718","4","","","","","",5,5,5,"0",5,5,5,5,5,"Thanks for the opportunity.","male","",46,"english","","white","","13","","0","somecollege","$20K-$40K","0","","Control",100,12.718,4,1.6,1.83333333333333,3.58333333333333,3.08333333333333,1,1,1,1,1,1,1,4,2,5,2,2,1.8,1.76666666666667,1.35606060606061,1.53787878787879,-0.233333333333333,-0.153027630805408,-1.71005291005291,-1.5570252792475,-0.275450843513671,-1.25729713952131,1.65995983914575,1.7598373521199,1.90809815361735,1.19029059499411,1.55702214061221,1.66192779231231,"loprev","loprom","loass","loloc",0,-2.08347608169261,-2.47232663403257,1.39737638534091,-0.171870180931796,-1,"US","United States","12083","WOW-INTERNET",0,"75.76.144.9",0,0
"438","2018-09-10 07:39:35","2018-09-10 07:52:29",100,773,"1","R_2Yh5B4vcWgtERiE","EN","1",3,2,3,5,4,3,5,4,4,3,4,1,4,4,4,4,3,3,4,4,3,4,3,4,4,2,3,3,3,4,"8.551","424.211","425.515","37",3,2,3,2,4,2,4,2,2,4,2,"4.24","101.087","102.403","17","1","0","0","10.223","0","0","0","25.653","0","30","14.605","14.605","15.772","1","50","7.167","22.166","22.998","3","","","","","",4,4,4,"0",2,2,5,2,4,"","female","",33,"english","","white","","3","","0","associates","$40K-$70K","0","","Control",50,22.998,3,4,3.66666666666667,4.08333333333333,3.5,4,4,4,4,3,4,4,5,4,4,3,3,0,0.266666666666667,0.265151515151515,0.454545454545455,0.333333333333333,0.413639035861258,0.68994708994709,0.276308054085832,0.224549156486329,-0.840630472854641,0.601019941759668,-0.555514923199293,-0.357898454113614,1.19029059499411,-0.659755144327207,0.925322433814912,"hiprev","hiprom","hiass","loloc",0,0.84061039929677,0.438736461391469,-0.033060300158641,0.464571107582065,-1,"US","United States","12083","WOW-INTERNET",0,"75.76.97.245",0,0
"439","2018-09-10 06:47:32","2018-09-10 07:04:19",100,1006,"1","R_1dLaCMcjBwpMpBK","EN","1",4,2,4,5,3,6,3,3,2,1,5,1,5,6,2,4,4,2,5,6,3,5,2,4,5,2,3,5,3,5,"2.824","511.106","513.366","34",2,3,4,4,3,3,5,2,2,4,2,"10.03","182.495","183.7","14","1","0","0","26.295","0","0","0","9.371","0","30","2.721","24.91","25.694","8","75","32.134","33.625","34.519","2","","","","","",5,5,4,"0",4,4,5,3,4,"interesting and easy, thanks","female","",31,"english","","white","","103","","0","graddegree","$70K-$100K","0","","Control",75,34.519,2,3,4.16666666666667,4.5,3.66666666666667,3,2,3,4,4,4,4,5,6,4,2,3,0.5,0.166666666666667,2.09090909090909,0.96969696969697,-1.16666666666667,-1.08636096413874,-0.31005291005291,0.776308054085832,0.641215823152996,-0.673963806187974,0.601019941759668,0.988053260346834,1.15276595104036,1.19029059499411,0.0791706173192649,0.925322433814912,"loprev","hiprom","hiass","loloc",0,-0.377758967782138,1.23266276014348,0.682158042591135,-1.22012642083698,-1,"US","United States","10796","SCRR-10796",0,"75.86.25.24",0,0
"440","2018-09-10 06:44:55","2018-09-10 06:54:38",100,583,"1","R_2D2lxyaOWcOWDfs","EN","1",4,1,1,5,2,3,2,3,6,2,5,1,4,4,6,4,1,1,6,6,2,2,3,5,6,1,1,4,3,1,"7.147","147.425","148.901","36",5,1,3,1,5,3,3,3,2,3,5,"2.141","71.467","72.784","23","1","66.415","66.415","76.135","1","0","0","30.345","0","30","1.987","16.666","18.899","3","100","15.267","45.831","47.19","3","","","","","",2,2,5,"0",4,4,4,2,5,"","female","",20,"english","","white","","103","","1","associates","$40K-$70K","0","","Control",100,47.19,3,4.2,2.5,4.5,3.25,5,5,3,3,1,4,1,6,5,6,3,2,1.2,1.5,3.72727272727273,2.02272727272727,1.7,1.78030570252792,0.88994708994709,-0.890358612580835,0.641215823152996,-1.09063047285464,1.65995983914575,0.988053260346834,1.15276595104036,0.402534637579827,-0.659755144327207,1.66192779231231,"hiprev","loprom","hiass","loloc",0,1.08428427271255,-1.41375823569655,1.39737638534091,1.99951774458608,-1,"US","United States","7018","ATT-INTERNET4",0,"75.9.94.179",0,0
"441","2018-09-10 06:45:43","2018-09-10 06:49:36",100,232,"1","R_25ZsRpFdZDKwX4f","EN","1",5,5,5,6,6,5,4,4,4,5,5,3,3,4,5,5,5,5,3,5,5,4,2,3,4,4,5,6,5,4,"1.015","32.998","33.714","39",2,4,3,4,3,2,3,4,3,2,3,"11.653","30.797","31.459","22","1","2.878","6.719","8.432","3","5.119","6.456","10.323","2","30","13.687","16.143","16.794","2","50","8.095","36.209","36.881","7","","","","","",5,4,2,"0",2,3,4,1,3,"","male","",33,"english","","white","","87","","0","doctorate","$70K-$100K","0","","Control",50,36.881,7,2.6,3,3.75,4.91666666666667,2,2,4,2,4,3,3,2,2,2,4,4,0.8,0.4,1.47727272727273,0.628787878787879,-0.4,-0.319694297472075,-0.71005291005291,-0.390358612580835,-0.108784176847004,0.576036193812026,-1.5168598530125,-0.555514923199293,0.397433748463374,0.402534637579827,-1.39868090597368,0.188717075317515,"loprev","loprom","loass","hiloc",0,-0.865106714613701,-0.619831936944544,-0.033060300158641,-0.359058795200578,-1,"US","United States","3737","PTD-AS",0,"75.97.215.133",0,0
"442","2018-09-10 06:46:59","2018-09-10 06:55:54",100,534,"1","R_12DNqa9sKNoAIm7","EN","1",5,3,3,5,5,2,3,4,3,5,3,1,5,4,3,5,2,4,1,2,3,3,3,2,5,2,5,5,4,2,"7.784","161.707","163.155","33",4,1,4,3,4,3,3,2,3,4,2,"8.263","70.396","73.081","11","1","0","0","17.236","0","0","0","8.167","0","30","26.964","26.964","28.812","1","0","12.006","18.67","20.26","2","","","","","",3,3,1,"0",1,1,1,1,1,"","female","",69,"english","","white","","100","","0","bachelors","$70K-$100K","0","","Control",0,20.26,2,3.8,3.33333333333333,2.5,4.25,5,3,3,4,2,3,4,4,2,2,2,5,0.7,0.666666666666667,0.636363636363636,1.11363636363636,0.466666666666666,0.546972369194591,0.48994708994709,-0.0570252792475014,-1.358784176847,-0.0906304728546408,-2.57579975039858,-1.32729901497236,-1.1132306566906,-1.96073323466303,-1.39868090597368,-1.28449364167728,"hiprev","loprom","loass","loloc",0,0.596936525880988,-0.0905477377765371,-1.46349698565819,0.61432199899709,-1,"US","United States","7922","COMCAST-7922",0,"76.104.104.130",0,0
"443","2018-09-10 06:45:58","2018-09-10 06:55:58",100,600,"1","R_1JD7CmNXdWr8pIh","EN","1",5,2,5,5,4,4,2,4,5,4,5,1,2,1,4,6,1,1,4,5,5,1,1,2,4,1,2,5,4,1,"2.409","118.874","120.023","39",2,2,4,3,4,3,3,3,3,5,3,"14.096","105.464","106.493","15","1","26.887","46.774","49.844","5","0","0","10.25","0","30","18.433","18.433","19.397","1","","","","","","50","8.906","8.906","9.869","1",5,5,3,"0",2,2,4,3,3,"","female","",22,"english","","white","","72","","0","associates","$100K-$250K","0","","CF Loss",50,9.869,1,3.4,3.66666666666667,3.66666666666667,4.75,4,3,3,3,4,3,3,5,3,5,5,5,0.3,0.666666666666667,2.42424242424242,0.386363636363636,-0.266666666666667,-0.186360964138742,0.0899470899470898,0.276308054085832,-0.192117510180338,0.409369527145359,-0.457919955626414,-0.555514923199293,-0.357898454113614,0.402534637579827,0.0791706173192649,0.188717075317515,"hiprev","hiprom","loass","hiloc",1,0.109588779049425,0.438736461391469,-0.033060300158641,-0.209307903785552,1,"US","United States","7029","WINDSTREAM",0,"76.160.183.66",0,0
"444","2018-09-10 06:45:58","2018-09-10 06:53:56",100,477,"1","R_1g5fznTxOOxYm1s","EN","1",4,1,5,6,4,3,5,5,5,3,5,1,4,1,6,6,2,1,6,6,5,3,1,4,5,1,1,5,5,4,"3.371","140.22","141.869","88",2,2,3,3,4,2,4,3,5,3,1,"14.65","57.313","63.636","38","1","1.84","26.525","40.828","5","1.703","1.703","17.983","1","30","2.146","16.301","18.443","16","0","0.741","14.773","16.346","4","","","","","",5,2,1,"1",NA,NA,NA,NA,NA,"Bitcoin is too expensive to buy and use","male","",36,"english","","black","","87","","0","bachelors","$40K-$70K","0","","Control",0,16.346,4,3.6,3.33333333333333,4.91666666666667,4.66666666666667,4,3,4,3,4,1,5,6,4,6,3,3,0.3,1.86666666666667,1.35606060606061,0.96969696969697,0.266666666666667,0.346972369194591,0.28994708994709,-0.0570252792475014,1.05788248981966,0.326036193812026,-2.57579975039858,NA,NA,NA,NA,NA,"hiprev","loprom","hiass","hiloc",0,0.353262652465207,-0.0905477377765371,-1.46349698565819,0.389695661874552,-1,"US","United States","7018","ATT-INTERNET4",0,"76.236.92.146",0,0
"445","2018-09-10 06:45:58","2018-09-10 06:58:46",100,767,"1","R_3esgbQyeHaIQ9R8","EN","1",4,3,4,5,5,3,2,5,3,5,4,1,4,4,2,5,3,3,4,5,4,2,3,1,4,2,3,4,5,3,"8.19","135.827","136.938","89",1,3,5,2,4,3,3,2,2,4,2,"7.87","86.072","87.023","75","1","2.235","43.314","71.598","7","2.054","19.98","25.747","3","30","2.064","61.307","65.951","20","","","","","","100","2.645","20.394","21.047","12",5,5,4,"0",3,3,4,2,2,"","female","",46,"english","","white","","78","","0","graddegree",NA,"0","","CF Loss",100,21.047,12,3.6,4.16666666666667,3.16666666666667,4.5,3,4,3,4,5,4,4,4,2,4,3,6,0.3,0.566666666666667,1.06060606060606,0.636363636363636,-0.566666666666667,-0.486360964138742,0.28994708994709,0.776308054085832,-0.692117510180338,0.159369527145359,0.601019941759668,0.216269168573771,0.397433748463374,0.402534637579827,-0.659755144327207,-0.547888283179883,"hiprev","hiprom","loass","hiloc",1,0.353262652465207,1.23266276014348,1.39737638534091,-0.546247409469361,1,"US","United States","11427","SCRR-11427",0,"76.84.25.21",0,0
